
A continuación se muestran las soluciones viables para el KUKA KR6

 Solución 3 

C_PTP PTP{E6AXIS: A1 14.302131, A2 -80.982308, A3 145.874073, A4 -73.165747, A5 87.540350, A6 -24.302700}
C_PTP PTP{E6AXIS: A1 -2.329333, A2 -67.819330, A3 102.064808, A4 -11.774392, A5 55.922535, A6 -85.701719}
C_PTP PTP{E6AXIS: A1 -2.841118, A2 -67.868550, A3 101.977630, A4 -10.109841, A5 55.890714, A6 -87.161705}
C_PTP PTP{E6AXIS: A1 -3.328693, A2 -67.898893, A3 101.892308, A4 -8.627126, A5 55.892795, A6 -88.491912}
C_PTP PTP{E6AXIS: A1 -3.792826, A2 -67.913554, A3 101.808688, A4 -7.316490, A5 55.919701, A6 -89.698968}
C_PTP PTP{E6AXIS: A1 -4.234170, A2 -67.915311, A3 101.726672, A4 -6.169598, A5 55.963879, A6 -90.788687}
C_PTP PTP{E6AXIS: A1 -4.653294, A2 -67.906593, A3 101.646210, A4 -5.179240, A5 56.019031, A6 -91.766216}
C_PTP PTP{E6AXIS: A1 -5.050700, A2 -67.889543, A3 101.567289, A4 -4.339131, A5 56.079897, A6 -92.636125}
C_PTP PTP{E6AXIS: A1 -5.429570, A2 -67.865856, A3 101.489364, A4 -3.621289, A5 56.143453, A6 -93.417747}
C_PTP PTP{E6AXIS: A1 -5.798724, A2 -67.836154, A3 101.410703, A4 -2.965221, A5 56.210555, A6 -94.154005}
C_PTP PTP{E6AXIS: A1 -6.163755, A2 -67.800435, A3 101.330209, A4 -2.340518, A5 56.282001, A6 -94.867593}
C_PTP PTP{E6AXIS: A1 -6.524276, A2 -67.759088, A3 101.247972, A4 -1.750223, A5 56.356783, A6 -95.556528}
C_PTP PTP{E6AXIS: A1 -6.880607, A2 -67.712409, A3 101.163932, A4 -1.191524, A5 56.434370, A6 -96.222795}
C_PTP PTP{E6AXIS: A1 -7.233030, A2 -67.660659, A3 101.078034, A4 -0.661939, A5 56.514317, A6 -96.868146}
C_PTP PTP{E6AXIS: A1 -7.581790, A2 -67.604073, A3 100.990230, A4 -0.159282, A5 56.596246, A6 -97.494120}
C_PTP PTP{E6AXIS: A1 -7.927102, A2 -67.542862, A3 100.900476, A4 0.318380, A5 56.679837, A6 -98.102081}
C_PTP PTP{E6AXIS: A1 -8.269158, A2 -67.477215, A3 100.808732, A4 0.772769, A5 56.764815, A6 -98.693243}
C_PTP PTP{E6AXIS: A1 -8.608128, A2 -67.407306, A3 100.714961, A4 1.205427, A5 56.850944, A6 -99.268692}
C_PTP PTP{E6AXIS: A1 -8.944162, A2 -67.333293, A3 100.619130, A4 1.617742, A5 56.938022, A6 -99.829404}
C_PTP PTP{E6AXIS: A1 -9.277397, A2 -67.255322, A3 100.521208, A4 2.010968, A5 57.025875, A6 -100.376261}
C_PTP PTP{E6AXIS: A1 -9.607955, A2 -67.173526, A3 100.421166, A4 2.386244, A5 57.114354, A6 -100.910062}
C_PTP PTP{E6AXIS: A1 -9.935947, A2 -67.088030, A3 100.318976, A4 2.744611, A5 57.203327, A6 -101.431536}
C_PTP PTP{E6AXIS: A1 -10.261475, A2 -66.998947, A3 100.214614, A4 3.087021, A5 57.292686, A6 -101.941349}
C_PTP PTP{E6AXIS: A1 -10.584629, A2 -66.906385, A3 100.108055, A4 3.414350, A5 57.382334, A6 -102.440112}
C_PTP PTP{E6AXIS: A1 -10.905494, A2 -66.810443, A3 99.999277, A4 3.727408, A5 57.472192, A6 -102.928387}
C_PTP PTP{E6AXIS: A1 -11.224148, A2 -66.711215, A3 99.888258, A4 4.026942, A5 57.562189, A6 -103.406695}
C_PTP PTP{E6AXIS: A1 -11.540662, A2 -66.608786, A3 99.774978, A4 4.313649, A5 57.652269, A6 -103.875516}
C_PTP PTP{E6AXIS: A1 -11.855101, A2 -66.503239, A3 99.659416, A4 4.588178, A5 57.742385, A6 -104.335299}
C_PTP PTP{E6AXIS: A1 -12.167527, A2 -66.394651, A3 99.541555, A4 4.851133, A5 57.832498, A6 -104.786459}
C_PTP PTP{E6AXIS: A1 -12.477996, A2 -66.283093, A3 99.421374, A4 5.103085, A5 57.922576, A6 -105.229387}
C_PTP PTP{E6AXIS: A1 -12.786562, A2 -66.168632, A3 99.298858, A4 5.344567, A5 58.012598, A6 -105.664446}
C_PTP PTP{E6AXIS: A1 -13.093274, A2 -66.051334, A3 99.173987, A4 5.576081, A5 58.102547, A6 -106.091980}
C_PTP PTP{E6AXIS: A1 -13.398179, A2 -65.931258, A3 99.046747, A4 5.798104, A5 58.192412, A6 -106.512309}
C_PTP PTP{E6AXIS: A1 -13.701320, A2 -65.808462, A3 98.917119, A4 6.011084, A5 58.282189, A6 -106.925737}
C_PTP PTP{E6AXIS: A1 -14.002738, A2 -65.682998, A3 98.785089, A4 6.215448, A5 58.371878, A6 -107.332550}
C_PTP PTP{E6AXIS: A1 -14.302473, A2 -65.554917, A3 98.650640, A4 6.411602, A5 58.461484, A6 -107.733020}
C_PTP PTP{E6AXIS: A1 -14.600562, A2 -65.424267, A3 98.513757, A4 6.599931, A5 58.551018, A6 -108.127403}
C_PTP PTP{E6AXIS: A1 -14.897038, A2 -65.291093, A3 98.374424, A4 6.780803, A5 58.640493, A6 -108.515943}
C_PTP PTP{E6AXIS: A1 -15.191935, A2 -65.155438, A3 98.232626, A4 6.954569, A5 58.729927, A6 -108.898872}
C_PTP PTP{E6AXIS: A1 -15.485286, A2 -65.017342, A3 98.088348, A4 7.121567, A5 58.819341, A6 -109.276411}
C_PTP PTP{E6AXIS: A1 -15.777119, A2 -64.876842, A3 97.941576, A4 7.282118, A5 58.908760, A6 -109.648770}
C_PTP PTP{E6AXIS: A1 -16.067463, A2 -64.733974, A3 97.792293, A4 7.436531, A5 58.998212, A6 -110.016151}
C_PTP PTP{E6AXIS: A1 -16.356347, A2 -64.588772, A3 97.640486, A4 7.585105, A5 59.087729, A6 -110.378745}
C_PTP PTP{E6AXIS: A1 -16.643796, A2 -64.441267, A3 97.486139, A4 7.728124, A5 59.177343, A6 -110.736736}
C_PTP PTP{E6AXIS: A1 -16.929836, A2 -64.291488, A3 97.329237, A4 7.865865, A5 59.267091, A6 -111.090302}
C_PTP PTP{E6AXIS: A1 -17.214491, A2 -64.139462, A3 97.169766, A4 7.998593, A5 59.357012, A6 -111.439610}
C_PTP PTP{E6AXIS: A1 -17.497784, A2 -63.985216, A3 97.007710, A4 8.126565, A5 59.447148, A6 -111.784825}
C_PTP PTP{E6AXIS: A1 -17.779739, A2 -63.828774, A3 96.843054, A4 8.250029, A5 59.537542, A6 -112.126101}
C_PTP PTP{E6AXIS: A1 -18.060376, A2 -63.670157, A3 96.675783, A4 8.369224, A5 59.628241, A6 -112.463589}
C_PTP PTP{E6AXIS: A1 -18.339717, A2 -63.509386, A3 96.505882, A4 8.484383, A5 59.719292, A6 -112.797434}
C_PTP PTP{E6AXIS: A1 -18.617781, A2 -63.346481, A3 96.333335, A4 8.595730, A5 59.810746, A6 -113.127775}
C_PTP PTP{E6AXIS: A1 -18.894590, A2 -63.181457, A3 96.158126, A4 8.703485, A5 59.902653, A6 -113.454746}
C_PTP PTP{E6AXIS: A1 -19.170161, A2 -63.014332, A3 95.980239, A4 8.807857, A5 59.995069, A6 -113.778477}
C_PTP PTP{E6AXIS: A1 -19.444514, A2 -62.845119, A3 95.799658, A4 8.909054, A5 60.088049, A6 -114.099092}
C_PTP PTP{E6AXIS: A1 -19.717666, A2 -62.673830, A3 95.616366, A4 9.007275, A5 60.181650, A6 -114.416713}
C_PTP PTP{E6AXIS: A1 -19.989634, A2 -62.500479, A3 95.430348, A4 9.102714, A5 60.275930, A6 -114.731457}
C_PTP PTP{E6AXIS: A1 -20.260436, A2 -62.325073, A3 95.241585, A4 9.195559, A5 60.370951, A6 -115.043434}
C_PTP PTP{E6AXIS: A1 -20.530089, A2 -62.147622, A3 95.050061, A4 9.285995, A5 60.466774, A6 -115.352755}
C_PTP PTP{E6AXIS: A1 -20.798607, A2 -61.968133, A3 94.855758, A4 9.374200, A5 60.563463, A6 -115.659525}
C_PTP PTP{E6AXIS: A1 -21.066007, A2 -61.786611, A3 94.658658, A4 9.460348, A5 60.661083, A6 -115.963845}
C_PTP PTP{E6AXIS: A1 -21.332304, A2 -61.603062, A3 94.458742, A4 9.544610, A5 60.759700, A6 -116.265814}
C_PTP PTP{E6AXIS: A1 -21.597512, A2 -61.417487, A3 94.255992, A4 9.627151, A5 60.859382, A6 -116.565526}
C_PTP PTP{E6AXIS: A1 -21.861647, A2 -61.229889, A3 94.050390, A4 9.708131, A5 60.960197, A6 -116.863074}
C_PTP PTP{E6AXIS: A1 -22.124722, A2 -61.040268, A3 93.841914, A4 9.787709, A5 61.062217, A6 -117.158546}
C_PTP PTP{E6AXIS: A1 -22.386752, A2 -60.848624, A3 93.630546, A4 9.866036, A5 61.165511, A6 -117.452027}
C_PTP PTP{E6AXIS: A1 -22.647749, A2 -60.654955, A3 93.416265, A4 9.943264, A5 61.270154, A6 -117.743601}
C_PTP PTP{E6AXIS: A1 -22.907726, A2 -60.459257, A3 93.199050, A4 10.019536, A5 61.376219, A6 -118.033347}
C_PTP PTP{E6AXIS: A1 -23.166697, A2 -60.261526, A3 92.978880, A4 10.094996, A5 61.483780, A6 -118.321342}
C_PTP PTP{E6AXIS: A1 -23.424675, A2 -60.061756, A3 92.755733, A4 10.169782, A5 61.592915, A6 -118.607661}
C_PTP PTP{E6AXIS: A1 -23.681670, A2 -59.859940, A3 92.529587, A4 10.244029, A5 61.703699, A6 -118.892375}
C_PTP PTP{E6AXIS: A1 -23.937696, A2 -59.656070, A3 92.300418, A4 10.317870, A5 61.816211, A6 -119.175553}
C_PTP PTP{E6AXIS: A1 -24.192763, A2 -59.450137, A3 92.068203, A4 10.391431, A5 61.930531, A6 -119.457260}
C_PTP PTP{E6AXIS: A1 -24.446884, A2 -59.242130, A3 91.832918, A4 10.464840, A5 62.046739, A6 -119.737560}
C_PTP PTP{E6AXIS: A1 -24.700070, A2 -59.032037, A3 91.594538, A4 10.538217, A5 62.164915, A6 -120.016514}
C_PTP PTP{E6AXIS: A1 -24.952330, A2 -58.819847, A3 91.353039, A4 10.611682, A5 62.285142, A6 -120.294180}
C_PTP PTP{E6AXIS: A1 -25.203676, A2 -58.605544, A3 91.108393, A4 10.685350, A5 62.407504, A6 -120.570613}
C_PTP PTP{E6AXIS: A1 -25.454119, A2 -58.389113, A3 90.860575, A4 10.759335, A5 62.532083, A6 -120.845867}
C_PTP PTP{E6AXIS: A1 -25.703668, A2 -58.170538, A3 90.609557, A4 10.833746, A5 62.658965, A6 -121.119992}
C_PTP PTP{E6AXIS: A1 -25.952333, A2 -57.949802, A3 90.355312, A4 10.908690, A5 62.788235, A6 -121.393035}
C_PTP PTP{E6AXIS: A1 -26.200123, A2 -57.726886, A3 90.097809, A4 10.984270, A5 62.919980, A6 -121.665041}
C_PTP PTP{E6AXIS: A1 -26.447049, A2 -57.501769, A3 89.837021, A4 11.060588, A5 63.054287, A6 -121.936053}
C_PTP PTP{E6AXIS: A1 -26.693119, A2 -57.274432, A3 89.572916, A4 11.137741, A5 63.191244, A6 -122.206111}
C_PTP PTP{E6AXIS: A1 -26.938341, A2 -57.044851, A3 89.305464, A4 11.215824, A5 63.330941, A6 -122.475253}
C_PTP PTP{E6AXIS: A1 -27.182725, A2 -56.813004, A3 89.034633, A4 11.294930, A5 63.473465, A6 -122.743512}
C_PTP PTP{E6AXIS: A1 -27.426279, A2 -56.578866, A3 88.760390, A4 11.375148, A5 63.618908, A6 -123.010921}
C_PTP PTP{E6AXIS: A1 -27.669011, A2 -56.342410, A3 88.482701, A4 11.456564, A5 63.767360, A6 -123.277508}
C_PTP PTP{E6AXIS: A1 -27.910929, A2 -56.103612, A3 88.201533, A4 11.539262, A5 63.918913, A6 -123.543302}
C_PTP PTP{E6AXIS: A1 -28.144763, A2 -55.869763, A3 87.925509, A4 11.564500, A5 64.035076, A6 -123.775709}


A continuación se muestran las soluciones viables para el KUKA KR6

 Solución 3 

PTP{E6AXIS: A1 14.302131, A2 -80.982308, A3 145.874073, A4 -73.165747, A5 87.540350, A6 -24.302700} C_PTP 
PTP{E6AXIS: A1 13.501911, A2 -86.918494, A3 145.392445, A4 -68.512950, A5 80.361490, A6 -31.045237} C_PTP 
PTP{E6AXIS: A1 10.205098, A2 -95.356078, A3 144.358828, A4 -53.461408, A5 65.086225, A6 -45.388984} C_PTP 
PTP{E6AXIS: A1 8.183377, A2 -98.145694, A3 143.887403, A4 -46.012210, A5 60.556688, A6 -52.489417} C_PTP 
PTP{E6AXIS: A1 6.490824, A2 -99.882044, A3 143.539124, A4 -40.269746, A5 57.936725, A6 -58.020175} C_PTP 
PTP{E6AXIS: A1 4.986277, A2 -101.100961, A3 143.255614, A4 -35.486160, A5 56.224238, A6 -62.684114} C_PTP 
PTP{E6AXIS: A1 3.607807, A2 -102.004978, A3 143.012866, A4 -31.346431, A5 55.040901, A6 -66.770909} C_PTP 
PTP{E6AXIS: A1 2.323270, A2 -102.693161, A3 142.798558, A4 -27.687092, A5 54.202550, A6 -70.429245} C_PTP 
PTP{E6AXIS: A1 1.114400, A2 -103.221997, A3 142.605485, A4 -24.413193, A5 53.605167, A6 -73.745095} C_PTP 
PTP{E6AXIS: A1 -0.029858, A2 -103.627378, A3 142.429017, A4 -21.464991, A5 53.183553, A6 -76.772511} C_PTP 
PTP{E6AXIS: A1 -1.116542, A2 -103.934058, A3 142.265955, A4 -18.802334, A5 52.893510, A6 -79.547868} C_PTP 
PTP{E6AXIS: A1 -2.150357, A2 -104.160231, A3 142.113967, A4 -16.396593, A5 52.703224, A6 -82.097157} C_PTP 
PTP{E6AXIS: A1 -3.134602, A2 -104.319942, A3 141.971271, A4 -14.226227, A5 52.588729, A6 -84.439963} C_PTP 
PTP{E6AXIS: A1 -4.071711, A2 -104.424455, A3 141.836467, A4 -12.274236, A5 52.531346, A6 -86.591746} C_PTP 
PTP{E6AXIS: A1 -4.963581, A2 -104.483068, A3 141.708430, A4 -10.526659, A5 52.516155, A6 -88.565185} C_PTP 
PTP{E6AXIS: A1 -5.811761, A2 -104.503623, A3 141.586242, A4 -8.971670, A5 52.531034, A6 -90.370980} C_PTP 
PTP{E6AXIS: A1 -6.617574, A2 -104.492841, A3 141.469154, A4 -7.599023, A5 52.566021, A6 -92.018355} C_PTP 
PTP{E6AXIS: A1 -7.382194, A2 -104.456548, A3 141.356555, A4 -6.399712, A5 52.612882, A6 -93.515367} C_PTP 
PTP{E6AXIS: A1 -8.106683, A2 -104.399837, A3 141.247952, A4 -5.365755, A5 52.664787, A6 -94.869104} C_PTP 
PTP{E6AXIS: A1 -8.792026, A2 -104.327182, A3 141.142958, A4 -4.490058, A5 52.716083, A6 -96.085818} C_PTP 
PTP{E6AXIS: A1 -9.443832, A2 -104.241857, A3 141.040530, A4 -3.742991, A5 52.764284, A6 -97.189819} C_PTP 
PTP{E6AXIS: A1 -10.077341, A2 -104.144380, A3 140.938191, A4 -3.061407, A5 52.811971, A6 -98.235037} C_PTP 
PTP{E6AXIS: A1 -10.702148, A2 -104.034314, A3 140.834439, A4 -2.413652, A5 52.860619, A6 -99.250451} C_PTP 
PTP{E6AXIS: A1 -11.317559, A2 -103.912584, A3 140.729330, A4 -1.802805, A5 52.909045, A6 -100.233704} C_PTP 
PTP{E6AXIS: A1 -11.924095, A2 -103.779849, A3 140.622730, A4 -1.225873, A5 52.956785, A6 -101.187301} C_PTP 
PTP{E6AXIS: A1 -12.522213, A2 -103.636704, A3 140.514518, A4 -0.680209, A5 53.003464, A6 -102.113445} C_PTP 
PTP{E6AXIS: A1 -13.112310, A2 -103.483688, A3 140.404587, A4 -0.163482, A5 53.048781, A6 -103.014069} C_PTP 
PTP{E6AXIS: A1 -13.694734, A2 -103.321291, A3 140.292840, A4 0.326377, A5 53.092491, A6 -103.890878} C_PTP 
PTP{E6AXIS: A1 -14.269793, A2 -103.149968, A3 140.179188, A4 0.791211, A5 53.134402, A6 -104.745381} C_PTP 
PTP{E6AXIS: A1 -14.837759, A2 -102.970135, A3 140.063552, A4 1.232674, A5 53.174361, A6 -105.578925} C_PTP 
PTP{E6AXIS: A1 -15.398875, A2 -102.782183, A3 139.945860, A4 1.652255, A5 53.212248, A6 -106.392717} C_PTP 
PTP{E6AXIS: A1 -15.953360, A2 -102.586473, A3 139.826044, A4 2.051304, A5 53.247976, A6 -107.187841} C_PTP 
PTP{E6AXIS: A1 -16.501410, A2 -102.383346, A3 139.704043, A4 2.431047, A5 53.281481, A6 -107.965275} C_PTP 
PTP{E6AXIS: A1 -17.043204, A2 -102.173123, A3 139.579800, A4 2.792605, A5 53.312720, A6 -108.725910} C_PTP 
PTP{E6AXIS: A1 -17.578905, A2 -101.956104, A3 139.453263, A4 3.137008, A5 53.341672, A6 -109.470552} C_PTP 
PTP{E6AXIS: A1 -18.108661, A2 -101.732576, A3 139.324384, A4 3.465199, A5 53.368329, A6 -110.199942} C_PTP 
PTP{E6AXIS: A1 -18.632611, A2 -101.502810, A3 139.193118, A4 3.778054, A5 53.392700, A6 -110.914756} C_PTP 
PTP{E6AXIS: A1 -19.150881, A2 -101.267063, A3 139.059422, A4 4.076383, A5 53.414805, A6 -111.615619} C_PTP 
PTP{E6AXIS: A1 -19.663590, A2 -101.025580, A3 138.923259, A4 4.360938, A5 53.434677, A6 -112.303105} C_PTP 
PTP{E6AXIS: A1 -20.170849, A2 -100.778596, A3 138.784592, A4 4.632421, A5 53.452358, A6 -112.977746} C_PTP 
PTP{E6AXIS: A1 -20.672761, A2 -100.526334, A3 138.643387, A4 4.891489, A5 53.467898, A6 -113.640039} C_PTP 
PTP{E6AXIS: A1 -21.169423, A2 -100.269009, A3 138.499613, A4 5.138757, A5 53.481357, A6 -114.290441} C_PTP 
PTP{E6AXIS: A1 -21.660929, A2 -100.006823, A3 138.353241, A4 5.374804, A5 53.492801, A6 -114.929384} C_PTP 
PTP{E6AXIS: A1 -22.147365, A2 -99.739975, A3 138.204243, A4 5.600172, A5 53.502302, A6 -115.557270} C_PTP 
PTP{E6AXIS: A1 -22.628816, A2 -99.468652, A3 138.052594, A4 5.815377, A5 53.509939, A6 -116.174477} C_PTP 
PTP{E6AXIS: A1 -23.105360, A2 -99.193034, A3 137.898269, A4 6.020905, A5 53.515794, A6 -116.781360} C_PTP 
PTP{E6AXIS: A1 -23.577075, A2 -98.913295, A3 137.741248, A4 6.217215, A5 53.519956, A6 -117.378253} C_PTP 
PTP{E6AXIS: A1 -24.044033, A2 -98.629601, A3 137.581509, A4 6.404744, A5 53.522517, A6 -117.965474} C_PTP 
PTP{E6AXIS: A1 -24.506306, A2 -98.342112, A3 137.419033, A4 6.583908, A5 53.523573, A6 -118.543324} C_PTP 
PTP{E6AXIS: A1 -24.963961, A2 -98.050982, A3 137.253801, A4 6.755102, A5 53.523223, A6 -119.112086} C_PTP 
PTP{E6AXIS: A1 -25.417066, A2 -97.756357, A3 137.085797, A4 6.918705, A5 53.521568, A6 -119.672032} C_PTP 
PTP{E6AXIS: A1 -25.865685, A2 -97.458380, A3 136.915006, A4 7.075075, A5 53.518715, A6 -120.223421} C_PTP 
PTP{E6AXIS: A1 -26.309879, A2 -97.157186, A3 136.741412, A4 7.224557, A5 53.514769, A6 -120.766500} C_PTP 
PTP{E6AXIS: A1 -26.749710, A2 -96.852906, A3 136.565002, A4 7.367481, A5 53.509840, A6 -121.301504} C_PTP 
PTP{E6AXIS: A1 -27.185238, A2 -96.545665, A3 136.385764, A4 7.504164, A5 53.504040, A6 -121.828660} C_PTP 
PTP{E6AXIS: A1 -27.616520, A2 -96.235583, A3 136.203686, A4 7.634907, A5 53.497481, A6 -122.348186} C_PTP 
PTP{E6AXIS: A1 -28.043613, A2 -95.922775, A3 136.018756, A4 7.760003, A5 53.490276, A6 -122.860290} C_PTP 
PTP{E6AXIS: A1 -28.466573, A2 -95.607351, A3 135.830965, A4 7.879730, A5 53.482543, A6 -123.365175} C_PTP 
PTP{E6AXIS: A1 -28.885455, A2 -95.289418, A3 135.640303, A4 7.994360, A5 53.474396, A6 -123.863035} C_PTP 
PTP{E6AXIS: A1 -29.300311, A2 -94.969075, A3 135.446761, A4 8.104150, A5 53.465953, A6 -124.354057} C_PTP 
PTP{E6AXIS: A1 -29.711195, A2 -94.646420, A3 135.250332, A4 8.209350, A5 53.457332, A6 -124.838422} C_PTP 
PTP{E6AXIS: A1 -30.118159, A2 -94.321544, A3 135.051007, A4 8.310201, A5 53.448652, A6 -125.316307} C_PTP 
PTP{E6AXIS: A1 -30.521252, A2 -93.994536, A3 134.848779, A4 8.406936, A5 53.440033, A6 -125.787882} C_PTP 
PTP{E6AXIS: A1 -30.920526, A2 -93.665480, A3 134.643642, A4 8.499779, A5 53.431592, A6 -126.253312} C_PTP 
PTP{E6AXIS: A1 -31.316029, A2 -93.334454, A3 134.435589, A4 8.588947, A5 53.423451, A6 -126.712758} C_PTP 
PTP{E6AXIS: A1 -31.707810, A2 -93.001536, A3 134.224615, A4 8.674648, A5 53.415728, A6 -127.166375} C_PTP 
PTP{E6AXIS: A1 -32.095917, A2 -92.666795, A3 134.010714, A4 8.757085, A5 53.408545, A6 -127.614316} C_PTP 
PTP{E6AXIS: A1 -32.480398, A2 -92.330302, A3 133.793881, A4 8.836455, A5 53.402020, A6 -128.056728} C_PTP 
PTP{E6AXIS: A1 -32.861298, A2 -91.992120, A3 133.574111, A4 8.912946, A5 53.396274, A6 -128.493755} C_PTP 
PTP{E6AXIS: A1 -33.238664, A2 -91.652311, A3 133.351399, A4 8.986741, A5 53.391425, A6 -128.925537} C_PTP 
PTP{E6AXIS: A1 -33.612540, A2 -91.310930, A3 133.125741, A4 9.058019, A5 53.387595, A6 -129.352212} C_PTP 
PTP{E6AXIS: A1 -33.982973, A2 -90.968033, A3 132.897132, A4 9.126950, A5 53.384901, A6 -129.773912} C_PTP 
PTP{E6AXIS: A1 -34.350005, A2 -90.623669, A3 132.665568, A4 9.193700, A5 53.383462, A6 -130.190768} C_PTP 
PTP{E6AXIS: A1 -34.713680, A2 -90.277887, A3 132.431046, A4 9.258432, A5 53.383397, A6 -130.602906} C_PTP 
PTP{E6AXIS: A1 -35.074041, A2 -89.930729, A3 132.193560, A4 9.321300, A5 53.384824, A6 -131.010450} C_PTP 
PTP{E6AXIS: A1 -35.431131, A2 -89.582236, A3 131.953107, A4 9.382455, A5 53.387860, A6 -131.413521} C_PTP 
PTP{E6AXIS: A1 -35.784991, A2 -89.232446, A3 131.709683, A4 9.442044, A5 53.392622, A6 -131.812238} C_PTP 
PTP{E6AXIS: A1 -36.135663, A2 -88.881395, A3 131.463283, A4 9.500208, A5 53.399226, A6 -132.206714} C_PTP 
PTP{E6AXIS: A1 -36.483187, A2 -88.529113, A3 131.213904, A4 9.557084, A5 53.407788, A6 -132.597064} C_PTP 
PTP{E6AXIS: A1 -36.827603, A2 -88.175629, A3 130.961541, A4 9.612805, A5 53.418424, A6 -132.983395} C_PTP 
PTP{E6AXIS: A1 -37.168952, A2 -87.820970, A3 130.706190, A4 9.667498, A5 53.431248, A6 -133.365815} C_PTP 
PTP{E6AXIS: A1 -37.507272, A2 -87.465158, A3 130.447846, A4 9.721287, A5 53.446374, A6 -133.744428} C_PTP 
PTP{E6AXIS: A1 -37.842602, A2 -87.108215, A3 130.186505, A4 9.774294, A5 53.463916, A6 -134.119336} C_PTP 
PTP{E6AXIS: A1 -38.174979, A2 -86.750158, A3 129.922161, A4 9.826632, A5 53.483985, A6 -134.490636} C_PTP 
PTP{E6AXIS: A1 -38.504442, A2 -86.391002, A3 129.654810, A4 9.878415, A5 53.506694, A6 -134.858426} C_PTP 
PTP{E6AXIS: A1 -38.831028, A2 -86.030762, A3 129.384447, A4 9.929750, A5 53.532155, A6 -135.222798} C_PTP 
PTP{E6AXIS: A1 -39.154772, A2 -85.669447, A3 129.111065, A4 9.980741, A5 53.560477, A6 -135.583844} C_PTP 
PTP{E6AXIS: A1 -39.475711, A2 -85.307064, A3 128.834659, A4 10.031489, A5 53.591770, A6 -135.941652} C_PTP 
PTP{E6AXIS: A1 -39.793881, A2 -84.943622, A3 128.555223, A4 10.082090, A5 53.626144, A6 -136.296306} C_PTP 
PTP{E6AXIS: A1 -40.109315, A2 -84.579121, A3 128.272750, A4 10.132637, A5 53.663707, A6 -136.647891} C_PTP 
PTP{E6AXIS: A1 -40.422050, A2 -84.213565, A3 127.987233, A4 10.183220, A5 53.704566, A6 -136.996485} C_PTP 
PTP{E6AXIS: A1 -40.732117, A2 -83.846952, A3 127.698665, A4 10.233925, A5 53.748828, A6 -137.342167} C_PTP 
PTP{E6AXIS: A1 -41.039552, A2 -83.479279, A3 127.407039, A4 10.284833, A5 53.796599, A6 -137.685011} C_PTP 
PTP{E6AXIS: A1 -41.344386, A2 -83.110541, A3 127.112347, A4 10.336024, A5 53.847984, A6 -138.025089} C_PTP 
PTP{E6AXIS: A1 -41.646652, A2 -82.740732, A3 126.814580, A4 10.387573, A5 53.903087, A6 -138.362472} C_PTP 
PTP{E6AXIS: A1 -41.946382, A2 -82.369842, A3 126.513729, A4 10.439552, A5 53.962012, A6 -138.697224} C_PTP 
PTP{E6AXIS: A1 -42.243606, A2 -81.997861, A3 126.209785, A4 10.492030, A5 54.024861, A6 -139.029411} C_PTP 
PTP{E6AXIS: A1 -42.538357, A2 -81.624776, A3 125.902739, A4 10.545070, A5 54.091736, A6 -139.359092} C_PTP 
PTP{E6AXIS: A1 -42.830664, A2 -81.250573, A3 125.592579, A4 10.598736, A5 54.162739, A6 -139.686327} C_PTP 
PTP{E6AXIS: A1 -43.111828, A2 -80.886591, A3 125.288816, A4 10.603188, A5 54.189001, A6 -139.973175} C_PTP 
PTP{E6AXIS: A1 13.242246, A2 -78.090770, A3 141.609434, A4 -74.057223, A5 87.485276, A6 -25.751455} C_PTP 
PTP{E6AXIS: A1 12.497218, A2 -83.349353, A3 141.187520, A4 -69.231412, A5 80.096198, A6 -31.840870} C_PTP 
PTP{E6AXIS: A1 9.434774, A2 -90.883356, A3 140.288482, A4 -54.057300, A5 64.442418, A6 -45.359153} C_PTP 
PTP{E6AXIS: A1 7.561468, A2 -93.395762, A3 139.876611, A4 -46.596202, A5 59.734346, A6 -52.216667} C_PTP 
PTP{E6AXIS: A1 5.995316, A2 -94.967681, A3 139.570404, A4 -40.834612, A5 56.986984, A6 -57.611466} C_PTP 
PTP{E6AXIS: A1 4.604434, A2 -96.076431, A3 139.319474, A4 -36.023592, A5 55.177002, A6 -62.189964} C_PTP 
PTP{E6AXIS: A1 3.330934, A2 -96.902803, A3 139.103141, A4 -31.850423, A5 53.916755, A6 -66.219920} C_PTP 
PTP{E6AXIS: A1 2.144731, A2 -97.535350, A3 138.910819, A4 -28.153838, A5 53.016963, A6 -69.838973} C_PTP 
PTP{E6AXIS: A1 1.028696, A2 -98.024611, A3 138.736335, A4 -24.840662, A5 52.370395, A6 -73.126645} C_PTP 
PTP{E6AXIS: A1 -0.027561, A2 -98.402719, A3 138.575743, A4 -21.852539, A5 51.909629, A6 -76.132859} C_PTP 
PTP{E6AXIS: A1 -1.030674, A2 -98.691849, A3 138.426338, A4 -19.150385, A5 51.588819, A6 -78.891199} C_PTP 
PTP{E6AXIS: A1 -1.985083, A2 -98.908307, A3 138.286154, A4 -16.706379, A5 51.374869, A6 -81.425711} C_PTP 
PTP{E6AXIS: A1 -2.893905, A2 -99.064687, A3 138.153706, A4 -14.499575, A5 51.242771, A6 -83.754613} C_PTP 
PTP{E6AXIS: A1 -3.759438, A2 -99.171094, A3 138.027837, A4 -12.513400, A5 51.172987, A6 -85.892406} C_PTP 
